ano,nivel_geografico,Feminino,Masculino,gap_pct
2006,Brasil,3523.23119045047,4945.12554646164,71.2
2006,Maranhão,2557.227564102564,2945.724387755102,86.8
2006,Nordeste,2889.11978515625,3746.1131777956552,77.1
2007,Brasil,3636.8645916200035,5061.241377535342,71.9
2007,Maranhão,2748.0841095890414,3117.832125,88.1
2007,Nordeste,3117.4476277372264,4052.545573899371,76.9
2008,Brasil,3937.9928119349006,5435.512797946734,72.4
2008,Maranhão,3263.7434444444443,3299.6766666666667,98.9
2008,Nordeste,3300.4237121212122,4380.943894817073,75.3
2009,Brasil,4189.90170282937,5837.162928376484,71.8
2009,Maranhão,3583.8260465116277,3636.5926363636363,98.5
2009,Nordeste,3596.0968548387095,4664.493101682517,77.1
2010,Brasil,4384.809100148542,6137.524944816988,71.4
2010,Maranhão,4020.4690588235294,4556.414838709677,88.2
2010,Nordeste,4112.173244382023,5255.016473272491,78.3
2011,Brasil,4617.303196513144,6504.541161560071,71.0
2011,Maranhão,4521.21,5627.471391304348,80.3
2011,Nordeste,4403.196676718939,5749.561116959064,76.6
2012,Brasil,4795.690973114442,6842.586987654321,70.1
2012,Maranhão,4926.060151515151,6167.3693258426965,79.9
2012,Nordeste,4784.872305107527,6429.546798701299,74.4
2013,Brasil,5082.789201907457,7329.63945569406,69.3
2013,Maranhão,8153.758550724638,9479.613518518518,86.0
2013,Nordeste,5108.750343733474,6484.33970917226,78.8
2014,Brasil,5144.85294500472,7536.659644054538,68.3
2014,Maranhão,7308.1287999999995,10237.195739130435,71.4
2014,Nordeste,4830.810839126117,6234.4345078299775,77.5
2015,Brasil,5321.557955517536,7752.299151982378,68.6
2015,Maranhão,7559.204573643411,10316.759830508474,73.3
2015,Nordeste,5706.488990620813,6995.357183695077,81.6
2016,Brasil,5584.5784260489845,8268.219316205756,67.5
2016,Maranhão,8677.4947107438,10945.513333333334,79.3
2016,Nordeste,5104.506038072576,7005.359174372523,72.9
2017,Brasil,5713.103377470917,8521.07357341201,67.0
2017,Maranhão,9033.489008264462,12359.145051546393,73.1
2017,Nordeste,5254.200323193916,7188.5020583941605,73.1
2018,Brasil,5781.634736219541,8664.626636712977,66.7
2018,Maranhão,7897.230097087378,11651.026132075473,67.8
2018,Nordeste,5342.644160816848,7440.221726726727,71.8
2019,Brasil,5843.038249061914,8685.19354328865,67.3
2019,Maranhão,6950.981583333333,9775.571698113208,71.1
2019,Nordeste,4767.19893258427,6736.506808681672,70.8
2020,Brasil,5784.812562880233,8615.991518524961,67.1
2020,Maranhão,7699.609097744361,9952.790434782608,77.4
2020,Nordeste,4711.243323943661,6869.971049233253,68.6
2021,Brasil,5994.666163012789,8908.12163602334,67.3
2021,Maranhão,7784.305837837838,10696.89543478261,72.8
2021,Nordeste,4741.956747141042,6843.792948328267,69.3
2022,Brasil,8557.562128568377,12456.453909015867,68.7
2022,Maranhão,9466.667010869565,15062.824539007092,62.8
2022,Nordeste,8007.340403788634,12355.429025289779,64.8
