nivel_geografico,cbo_descricao,n,pct
Brasil,Economista,6599,13.2
Brasil,Economista agrícola,758,1.5
Brasil,Economista ambiental,681,1.4
Brasil,Economista do setor público,15073,30.2
Brasil,Economista do trabalho,2465,4.9
Brasil,Economista industrial,24200,48.5
Brasil,Economista regional e urbano,124,0.2
Maranhão,Economista,36,11.1
Maranhão,Economista agrícola,4,1.2
Maranhão,Economista ambiental,10,3.1
Maranhão,Economista do setor público,71,21.8
Maranhão,Economista do trabalho,4,1.2
Maranhão,Economista industrial,200,61.5
Nordeste,Economista,805,20.6
Nordeste,Economista agrícola,54,1.4
Nordeste,Economista ambiental,53,1.4
Nordeste,Economista do setor público,1462,37.4
Nordeste,Economista do trabalho,170,4.4
Nordeste,Economista industrial,1328,34.0
Nordeste,Economista regional e urbano,32,0.8
