ano,setor,valor_remuneracao_media
2006,Privado,3067.9238135593223
2006,Público,2174.650517241379
2007,Privado,3513.079879518072
2007,Público,2263.586857142857
2008,Privado,3768.640551181102
2008,Público,2514.7716250000003
2009,Privado,3915.4088695652176
2009,Público,3184.7186419753084
2010,Privado,4474.73893129771
2010,Público,4109.545
2011,Privado,5669.83816
2011,Público,4328.757529411765
2012,Privado,5689.560583941606
2012,Público,5252.557777777778
2013,Privado,6860.736206896552
2013,Público,15723.901029411765
2014,Privado,5764.883191489362
2014,Público,19365.29942307692
2015,Privado,5643.367842105263
2015,Público,19653.950175438596
2016,Privado,6061.009036144578
2016,Público,20878.79962962963
2017,Privado,6798.690119760479
2017,Público,22676.62725490196
2018,Privado,6521.660324675325
2018,Público,18983.41418181818
2019,Privado,4883.853354430379
2019,Público,16157.052352941177
2020,Privado,5040.37867403315
2020,Público,18750.901044776117
2021,Privado,6433.42084
2021,Público,17916.615616438354
2022,Privado,9847.636104417672
2022,Público,18788.2208
